070704     1.9    15.4  0  0
070705     3.4    17.9  0  0
070706     5.5    15.0  0  0
070707     3.5     8.4  2  2
070708    -0.7     7.6  0  0
070709    -0.8     4.3  0  0
070710    -1.2     7.0  0  0
070711    -3.4    10.6  0  0
070712    -3.0    11.6  0  0
070713    -0.5    11.1  0  0
070714     3.8    12.5  0  0
070715    -2.2    13.6  0  0
070716     2.8    17.3  0  0
070717     6.1    17.2  0  0
070718     4.2    18.5  0  0
070719     7.5    19.9  0  0
070720     7.0    17.1  0  0
070721     4.8    12.6  0  0
070722     2.5    11.7  0  0
070723    -0.6    12.6  0  0
070724     1.3    11.9  0  0
070725     0.2    10.0  0  0
070726     0.3     7.3  1  1
070727     0.5    10.7  0  0
070728    -4.0    10.5  0  0
070729    -5.3    12.6  0  0
070730    -3.4    14.8  0  0
070731     0.7    16.3  0  0
070801     4.1     9.9  0  0
070802     0.6     8.1  0  0
070803     3.3     7.8  0  0
070804     3.6    10.7  0  0
070805     1.2     8.5  0  0
070806     4.2     9.4  0  0
070807     1.0    18.0  0  0
070808     5.5    18.0  0  0
070809     3.1    18.2  0  0
070810     3.8    11.6  0  0
070811    -0.8    16.6  0  0
070812     3.0    13.0  0  0
070813     6.5    18.8  0  0
070814    10.0    27.0  0  0
070815     7.6    17.3  0  0
070816     1.2    11.6  0  0
070817    -2.0     9.5  0  0
070818     4.0    12.5  0  0
070819     3.3     9.4  0  0
070820     1.0    13.8  0  0
070821    -0.1    16.0  0  0
070822    -1.6    15.3  0  0
070823     2.9    16.6  0  0
070824     4.5    16.6  0  0
070825     5.0    13.8  0  0
070826     5.8     9.2  0  0
070827     1.0    16.4  0  0
070828     5.0    17.5  0  0
070829    -1.0     8.6  1  1
070830     7.4    14.2  2  2
070831     1.5    19.9  0  0
070901     9.5    20.2  2  2
070902     8.0    19.4  0  0
070903    12.5    17.3  1  1
070904 -9999.0 -9999.0  3  3
070905    11.4    18.4  0  0
070906     7.2    24.0  0  0
070907    13.2    18.6  1  1
070908    17.5    22.5  1  1
070909 -9999.0 -9999.0  3  3
070910 -9999.0 -9999.0  3  3
070911    16.1    19.7  1  1
070912    12.1    15.9  0  0
070913 -9999.0 -9999.0  3  3
070914    15.3    21.5  2  2
070915 -9999.0 -9999.0  3  3
070916    11.8    16.4  2  2
070917    11.1    12.9  1  1
070918    11.5    13.7  1  1
